CountryCode,PostalCode,Place,State,StateCode,Latitude,Longtitude,AccuracyType
CA,M1B 1J1,Scarborough,Ontario,ON,43.7938,-79.2288,6
CA,M1B 1J2,Scarborough,Ontario,ON,43.7946,-79.2237,6
CA,M1B 1J3,Scarborough,Ontario,ON,43.7958,-79.2237,6
CA,M1B 1J4,Scarborough,Ontario,ON,43.7959,-79.2198,6
CA,M1B 1J5,Scarborough,Ontario,ON,43.7954,-79.2196,6
CA,M1B 1J6,Scarborough,Ontario,ON,43.7954,-79.2196,6
CA,M1B 1J7,Scarborough,Ontario,ON,43.7947,-79.2252,6
CA,M1B 1J8,Scarborough,Ontario,ON,43.7952,-79.2242,6
CA,M1B 1J9,Scarborough,Ontario,ON,43.7947,-79.2258,6
CA,M1B 1K1,Scarborough,Ontario,ON,43.7952,-79.2264,6
CA,M1B 1K2,Scarborough,Ontario,ON,43.8039,-79.2205,6
CA,M1B 1K3,Scarborough,Ontario,ON,43.802,-79.2238,6
CA,M1B 1K4,Scarborough,Ontario,ON,43.803,-79.2241,6
CA,M1B 1K5,Scarborough,Ontario,ON,43.8044,-79.2207,6
CA,M1B 1K6,Scarborough,Ontario,ON,43.8015,-79.2169,6
CA,M1B 1K7,Scarborough,Ontario,ON,43.8017,-79.2165,6
CA,M1B 1K8,Scarborough,Ontario,ON,43.8011,-79.2152,6
CA,M1B 1K9,Scarborough,Ontario,ON,43.8011,-79.2152,6
CA,M1B 1L1,Scarborough,Ontario,ON,43.8006,-79.2147,6
CA,M1B 1L2,Scarborough,Ontario,ON,43.8005,-79.2137,6
CA,M1B 1L3,Scarborough,Ontario,ON,43.8003,-79.2139,6
CA,M1B 1L4,Scarborough,Ontario,ON,43.7997,-79.2136,6
CA,M1B 1L5,Scarborough,Ontario,ON,43.8002,-79.215,6
CA,M1B 1L6,Scarborough,Ontario,ON,43.8004,-79.2149,6
CA,M1B 1L7,Scarborough,Ontario,ON,43.8017,-79.216,6
CA,M1B 1L8,Scarborough,Ontario,ON,43.8025,-79.214,6
CA,M1B 1L9,Scarborough,Ontario,ON,43.8017,-79.2147,6
CA,M1B 1M1,Scarborough,Ontario,ON,43.8013,-79.2152,6
CA,M1B 1M2,Scarborough,Ontario,ON,43.8019,-79.2173,6
CA,M1B 1M3,Scarborough,Ontario,ON,43.8019,-79.2171,6
CA,M1B 1M4,Scarborough,Ontario,ON,43.8037,-79.2123,6
CA,M1B 1M5,Scarborough,Ontario,ON,43.792,-79.2301,6
CA,M1B 1M6,Scarborough,Ontario,ON,43.7919,-79.232,6
CA,M1B 1M7,Scarborough,Ontario,ON,43.7919,-79.2324,6
CA,M1B 1M9,Scarborough,Ontario,ON,43.8058,-79.2114,6
CA,M1B 1N1,Scarborough,Ontario,ON,43.7948,-79.2255,6
CA,M1B 1N2,Scarborough,Ontario,ON,43.7933,-79.2293,6
CA,M1B 1N3,Scarborough,Ontario,ON,43.8014,-79.2104,6
CA,M1B 1N4,Scarborough,Ontario,ON,43.8011,-79.2107,6
CA,M1B 1N5,Scarborough,Ontario,ON,43.8024,-79.2104,6
CA,M1B 1N6,Scarborough,Ontario,ON,43.8031,-79.2099,6
CA,M1B 1N7,Scarborough,Ontario,ON,43.8034,-79.2106,6
CA,M1B 1N8,Scarborough,Ontario,ON,43.8025,-79.2142,6
CA,M1B 1N9,Scarborough,Ontario,ON,43.8026,-79.2116,6
CA,M1B 1P1,Scarborough,Ontario,ON,43.8026,-79.2128,6
CA,M1B 1P2,Scarborough,Ontario,ON,43.802,-79.2118,6
CA,M1B 1P3,Scarborough,Ontario,ON,43.8008,-79.2123,6
CA,M1B 1P4,Scarborough,Ontario,ON,43.803,-79.214,6
CA,M1B 1P5,Scarborough,Ontario,ON,43.7967,-79.2355,6
CA,M1B 1P6,Scarborough,Ontario,ON,43.797,-79.2343,6
CA,M1B 1P7,Scarborough,Ontario,ON,43.7974,-79.2327,6
CA,M1B 1P8,Scarborough,Ontario,ON,43.7995,-79.2306,6
CA,M1B 1P9,Scarborough,Ontario,ON,43.7987,-79.2309,6
CA,M1B 1R1,Scarborough,Ontario,ON,43.8009,-79.2285,6
CA,M1B 1R2,Scarborough,Ontario,ON,43.8013,-79.2269,6
CA,M1B 1R3,Scarborough,Ontario,ON,43.7971,-79.2329,6
CA,M1B 1R4,Scarborough,Ontario,ON,43.797,-79.2329,6
CA,M1B 1R5,Scarborough,Ontario,ON,43.7956,-79.2335,6
CA,M1B 1R6,Scarborough,Ontario,ON,43.7971,-79.2345,6
CA,M1B 1R7,Scarborough,Ontario,ON,43.7986,-79.2354,6
CA,M1B 1R8,Scarborough,Ontario,ON,43.7984,-79.2302,6
CA,M1B 1R9,Scarborough,Ontario,ON,43.7993,-79.2287,6
CA,M1B 1S1,Scarborough,Ontario,ON,43.8001,-79.2281,6
